Histogram taken at 1/30/2023 7:45:16 AM
t, Ch 01, Ch 02, Ch 03, Ch 04, Ch 05, Ch 06, Ch 07, Ch 08, Ch 09, Ch 10, Ch 11, Ch 12, Ch 13, Ch 14, Ch 15, Ch 16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3695
3E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339
4E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328
6E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297
7E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340
9E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2670
1E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6453
1.2E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577
1.4E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268
1.5E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328
1.7E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358
1.8E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787
2E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6718
2.1E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2164
2.3E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288
2.5E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270
2.6E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317
2.8E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323
2.9E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3659
3.1E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5439
3.2E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411
3.4E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262
3.5E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320
3.7E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297
3.9E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980
4E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6680
4.2E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2104
4.3E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302
4.5E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287
4.6E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317
4.8E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443
5E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5302
5.1E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900
5.3E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304
5.4E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310
5.6E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317
5.7E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388
5.9E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4575
6E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9012
6.2E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580
6.4E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319
6.5E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291
6.7E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341
6.8E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016
7E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6681
7.1E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1751
7.3E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303
7.5E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324
7.6E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318
7.8E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324
7.9E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4208
8.1E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4997
8.2E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401
8.4E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289
8.5E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315
8.7E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357
8.9E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1442
9E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6767
9.2E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358
9.3E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285
9.5E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295
9.6E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320
9.8E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438
1E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5273
1.01E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4021
1.03E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352
1.04E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302
1.06E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318
1.07E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331
1.09E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2521
1.1E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6678
1.12E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612
1.14E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306
1.15E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311
1.17E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302
1.18E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042
1.2E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6765
1.21E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1867
1.23E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315
1.25E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295
1.26E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329
1.28E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354
1.29E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4598
1.31E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4691
1.32E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356
1.34E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287
1.35E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303
1.37E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329
1.39E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1718
1.4E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6714
1.42E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103
1.43E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324
1.45E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297
1.46E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336
1.48E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502
1.5E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5625
1.51E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405
1.53E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318
1.54E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307
1.56E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
