Histogram taken at 1/30/2023 12:26:19 PM
t, Ch 01, Ch 02, Ch 03, Ch 04, Ch 05, Ch 06, Ch 07, Ch 08, Ch 09, Ch 10, Ch 11, Ch 12, Ch 13, Ch 14, Ch 15, Ch 16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1E-10,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,29
3E-10,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,42
4E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44
6E-10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,41
7E-10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,65
9E-10,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,1237
1E-09,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,798
1.2E-09,0,1,2,0,2,0,0,0,0,0,0,0,0,0,2,51
1.4E-09,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24
1.5E-09,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,33
1.7E-09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,34
1.8E-09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,30
2E-09,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,36
2.1E-09,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,31
2.3E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
2.5E-09,0,1,3,0,0,0,0,0,0,0,0,0,0,0,5,34
2.6E-09,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,42
2.8E-09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,150
2.9E-09,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1552
3.1E-09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,514
3.2E-09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34
3.4E-09,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,43
3.5E-09,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,31
3.7E-09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,32
3.9E-09,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,42
4E-09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40
4.2E-09,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,30
4.3E-09,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,28
4.5E-09,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,36
4.6E-09,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,23
4.8E-09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,177
5E-09,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,1557
5.1E-09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,445
5.3E-09,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43
5.4E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
5.6E-09,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,32
5.7E-09,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,32
5.9E-09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29
6E-09,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,33
6.2E-09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,35
6.4E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
